;0～49番は能力獲得のアイテムを
0,【汚れ無視】,10000,;プレイヤーにTALENT:汚れ無視がつく
1,【調合知識】,50000,;プレイヤーにTALENT:調合知識がつく
2,【禁断の知識】,200000,;プレイヤーにTALENT:禁断の知識がつく
3,【悪趣味な宝飾品】,80000,;プレイヤーにTALENT:孔雀の瞳がつく
4,【ドラキュラの牙】,50000,;プレイヤーにTALENT:吸血鬼がつく
5,【ドラゴンの成体】,200000,;プレイヤーのTALENT:ドラゴン使いがつく

;50～99番は体質変化の薬等を。値段が高い他、ストレス値も増加するため基本的にリスクが高い
50,怪しげな栄養剤,1000,;体力を回復する
51,ふたなり薬,20000,;ふたなりにする
52,ふたなり消去薬,10000,;ふたなりを消去する
53,天使のミルク,20000,;母乳体質になる
54,ユニコーンテイル,20000,;処女膜が再生する
55,豊胸剤,20000,,;胸の大きさを1段階上げる。爆乳使用不可
56,縮胸剤,10000,,;胸の大きさを1段階下げる。絶壁使用不可
57,止乳剤,5000,;母乳が出なくなる
58,夜尿症改善薬,5000,;お漏らし癖が直る。
59,ゾンビパウダー,50000,;使用対象をゾンビ化する。禁断の知識がないと使用不可
60,聖水,50000,;使用対象のゾンビを消去する。禁断の知識がないと使用不可。使うと対象に[回復遅い]が付く
61,性転換薬,500000,;性転換させる薬 一度使うと元の性別には戻せない
62,時の砂時計,30000,;大人化したり子供化したりする
63,永続的利尿剤,10000,;おもらし癖を付与する
64,ビースティースターター,15000,;対象に獣耳と尻尾を生やす
65,魔剤,730,;体力気力の消費を減らす代わりにしばらくの間自然回復しづらくなる

70,排卵誘発剤,2000,;敢えて孕ませる場合に使う。
71,リミッター解除,1000000,;素質【リミットバースト】を付与する

